# ImageMagick pixel enumeration: 16,16,65535,srgba
5,10: (46260,55769,57568,65535)  #B4D9E0FF  srgba(180,217,224,1)
6,10: (46774,42919,62451,65535)  #B6A7F3FF  srgba(182,167,243,1)
7,10: (47031,45232,57311,65535)  #B7B0DFFF  srgba(183,176,223,1)
8,10: (47545,39064,62965,65535)  #B998F5FF  srgba(185,152,245,1)
9,10: (47545,49858,58082,65535)  #B9C2E2FF  srgba(185,194,226,1)
10,10: (48573,47031,62965,65535)  #BDB7F5FF  srgba(189,183,245,1)
11,10: (48830,32125,62965,65535)  #BE7DF5FF  srgba(190,125,245,1)
12,10: (49087,30583,54998,65535)  #BF77D6FF  srgba(191,119,214,1)
13,10: (49087,37522,55769,65535)  #BF92D9FF  srgba(191,146,217,1)
14,10: (49087,40863,56797,65535)  #BF9FDDFF  srgba(191,159,221,1)
15,10: (49087,59110,62194,65535)  #BFE6F2FF  srgba(191,230,242,1)
0,11: (49087,61937,62708,65535)  #BFF1F4FF  srgba(191,241,244,1)
1,11: (49858,49087,54741,65535)  #C2BFD5FF  srgba(194,191,213,1)
2,11: (49858,49601,56540,65535)  #C2C1DCFF  srgba(194,193,220,1)
3,11: (50115,30069,46260,65535)  #C375B4FF  srgba(195,117,180,1)
4,11: (50372,36237,62708,65535)  #C48DF4FF  srgba(196,141,244,1)
5,11: (50629,55512,64507,65535)  #C5D8FBFF  srgba(197,216,251,1)
6,11: (50629,55769,60395,65535)  #C5D9EBFF  srgba(197,217,235,1)
7,11: (50886,45232,54484,65535)  #C6B0D4FF  srgba(198,176,212,1)
8,11: (50886,50886,60909,65535)  #C6C6EDFF  srgba(198,198,237,1)
9,11: (50886,51143,64507,65535)  #C6C7FBFF  srgba(198,199,251,1)
10,11: (50886,55769,58082,65535)  #C6D9E2FF  srgba(198,217,226,1)
11,11: (51400,34438,54998,65535)  #C886D6FF  srgba(200,134,214,1)
12,11: (51914,58853,61937,65535)  #CAE5F1FF  srgba(202,229,241,1)
13,11: (51914,61166,62194,65535)  #CAEEF2FF  srgba(202,238,242,1)
14,11: (52171,34181,47288,65535)  #CB85B8FF  srgba(203,133,184,1)
15,11: (52171,40863,50886,65535)  #CB9FC6FF  srgba(203,159,198,1)
0,12: (52171,44718,51143,65535)  #CBAEC7FF  srgba(203,174,199,1)
1,12: (52428,47031,62194,65535)  #CCB7F2FF  srgba(204,183,242,1)
2,12: (52428,50115,58082,65535)  #CCC3E2FF  srgba(204,195,226,1)
3,12: (52685,44975,57311,65535)  #CDAFDFFF  srgba(205,175,223,1)
4,12: (53713,37265,49344,65535)  #D191C0FF  srgba(209,145,192,1)
5,12: (54227,51143,63222,65535)  #D3C7F6FF  srgba(211,199,246,1)
